ID,Name,Personal Finance Group Name,Personal Finance Group ID
nzfcc_ckouvvxva000f08ml7fibefq1,Trade services (not elsewhere classified),Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_clahcfil5000008mogwg5hdr7,Train and rail transport services,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvyy8004h08ml568d813k,Transport services (not elsewhere classified),Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvyzc004l08mlhc8da1l3,Travel agencies and tour operators,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckouvvz4b005608ml2ygi4sq1,"Truck, trailer, machinery, and equipment rentals",Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvyso003n08ml83zy0lyv,Tyre stores,Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvxkq000008mlfvf6gi1f,Uniforms and commercial clothing,Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_ckouvvzd7006608mlh6652doj,"Universities, professional schools, and other tertiary education",Education,group_clasr0ysw000zhk4m0cru14rw
nzfcc_ckouvvybf001g08mlczajat62,Variety stores,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvys3003i08mlhtk95p7h,Vehicle dealers (not elsewhere classified),Transport,group_clasr0ysw000whk4m577xhmf3
nzfcc_ckouvvzh1006o08mlbn8m2q1f,Veterinary services,Health,group_clasr0ysw000yhk4mddaobwu7
nzfcc_ckq5t8pp9000009jvbego537k,Waste and recycling services,Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvyqy003b08ml65aj5svx,"Watch, clock, and jewellery stores and services",Appearance,group_clasr0ysw0010hk4mf2dca4y8
nzfcc_cl2pehre5000009ma7a3rdh1b,Water and sanitation services,Utilities,group_clasr0ysw000vhk4m46ce9nrt
nzfcc_ckouvvxrz000608ml3pgqfx3i,"Welding, fabrication, and metal services",Household,group_clasr0ysw000uhk4m20nvc6m1
nzfcc_ckouvvzh4006q08mla1rt5w8j,Welfare and charity,Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
nzfcc_ckphrdp9f000008ml5t9g7d0m,"Wineries, breweries, and distilleries",Lifestyle,group_clasr0ysw0011hk4m6hlk9fq0
